航班号  起点    终点    飞行日    起飞时间    到达时间 	   机型 	价格   乘员定额	  余票量
CA1533  重庆    北京	1.3.5		10:55	    12:40		A733	980	    120		95
MU5341	北京	广州	每日		14:20	    16:15		M90		1280	150		150
CZ3869	重庆	深圳	2.4.6		08:55		10:35		733		1020	100		100
MU3682	广州	厦门	2.3.4		20:50		22:15		M90		1340	110		120
HU1836	上海	北京	每日		09:40		11:20		738		1230	120		120
CZ3528	成都	厦门	1.3.5		15:10		16:50		CRJ		1010	130		130
MU4594	长沙	西安	2.4.6		10:15		11:40		328		1120	140		140
SC7425	青岛	海口	1.3.6		19:20		21:20		DH4		1670	150		140
CA1234	洛阳	武汉	1.3.5		08:00		10:00		DH4		1010	300		300
CA4321	武汉	洛阳	2.4.6		16:00		18:00		DH4		1120	300		300
